employee_id,age,gender,marital_status,department,job_role,job_level,monthly_income,hourly_rate,years_at_company,years_in_current_role,years_since_last_promotion,work_life_balance,job_satisfaction,performance_rating,training_hours_last_year,overtime,project_count,average_hours_worked_per_week,absenteeism,work_environment_satisfaction,relationship_with_manager,job_involvement,distance_from_home,number_of_companies_worked,attrition
1732,50,0,0,2,1,5,18595,56,24,9,4,3,4,1,18,1,2,42,4,4,4,4,39,3,1
1733,30,1,2,0,3,2,13301,97,24,3,8,3,5,2,34,0,7,40,14,2,4,4,5,4,0
1734,29,1,0,3,1,5,11594,71,21,9,8,2,5,2,45,1,6,30,14,2,3,2,49,3,0
1735,22,0,1,2,2,3,8595,64,8,5,2,2,1,3,45,0,2,30,12,2,3,3,38,1,0
1736,33,1,1,2,0,3,12809,80,29,6,9,1,1,2,44,0,6,51,7,1,1,3,11,2,0
1737,35,0,0,4,1,5,19362,21,2,2,6,3,4,1,38,0,5,58,8,1,4,1,37,1,0
1738,29,1,0,2,2,1,3269,71,14,2,2,1,2,4,40,1,9,47,14,3,3,1,8,2,0
1739,48,1,2,0,1,2,16365,60,16,14,3,1,1,3,88,1,1,56,2,4,3,2,29,4,1
1740,29,1,0,3,0,1,18969,36,20,12,7,4,1,1,17,0,4,47,13,3,2,2,11,2,0
1741,31,0,1,3,2,3,9772,25,10,12,0,1,3,2,58,0,5,51,12,2,1,1,46,4,0
1742,49,1,2,4,3,5,5348,47,18,2,3,1,1,2,86,0,7,54,1,2,1,1,45,4,0
1743,20,1,0,0,1,4,13175,68,5,7,3,1,5,4,29,1,8,54,11,1,2,2,48,3,0
1744,24,1,0,0,1,4,9058,34,16,13,2,1,3,1,64,0,3,39,17,3,1,4,29,3,0
1745,39,0,2,1,2,1,7522,19,11,11,1,1,4,1,89,1,7,51,15,3,2,1,37,1,0
1746,27,1,0,2,0,1,5163,82,19,11,7,2,4,4,83,1,7,39,8,3,1,4,46,1,0
1747,31,0,1,4,1,1,16874,28,6,6,5,1,4,2,40,1,5,49,6,1,4,1,13,1,1
1748,20,1,2,3,2,3,18577,17,7,7,1,2,3,2,84,0,4,54,0,2,4,1,31,3,0
1749,39,1,0,1,0,3,7163,96,22,13,7,2,1,2,54,0,9,40,4,1,1,3,46,4,0
1750,47,1,1,0,1,5,13982,72,11,3,7,4,1,3,58,1,6,42,16,3,4,3,49,4,0
1751,56,0,0,2,2,3,18172,41,18,4,6,2,5,1,44,0,1,31,10,2,3,1,49,4,0
1752,56,1,2,3,0,5,7486,18,18,11,7,2,3,4,83,1,5,54,10,2,4,3,2,4,0
1753,31,1,0,1,1,5,17295,81,20,6,8,2,3,3,66,1,5,49,1,4,3,3,7,2,0
1754,56,1,0,0,1,1,16737,78,23,3,2,3,5,1,16,1,6,56,7,3,2,3,42,1,1
1755,47,1,0,3,0,4,13853,56,8,12,1,2,1,4,90,1,5,36,13,2,2,4,25,1,0
1756,34,0,1,3,0,1,13158,43,21,14,6,3,1,4,81,1,6,51,13,3,3,1,49,3,0
1757,25,1,1,0,2,3,19097,94,10,1,1,3,2,2,73,0,7,55,10,3,2,2,13,2,0
1758,39,1,0,0,1,2,7183,49,17,6,2,4,2,2,19,0,4,46,3,1,3,2,28,2,1
1759,33,1,0,4,1,3,8911,33,9,10,5,2,2,4,22,1,9,42,15,4,2,4,22,3,0
1760,21,1,2,3,2,4,16964,93,13,11,8,2,2,2,63,0,8,46,6,4,3,2,24,3,1
1761,28,0,0,0,1,3,15912,83,8,10,8,2,1,2,7,1,8,50,0,4,1,1,1,2,0
1762,56,1,2,1,1,4,8208,45,17,2,9,4,4,1,64,0,9,34,5,2,3,2,49,1,0
1763,39,1,1,2,1,2,11178,57,16,13,1,3,3,4,59,0,3,45,19,3,4,4,46,3,0
1764,45,0,0,4,3,2,14116,87,25,7,0,3,2,4,6,1,9,49,7,3,3,2,43,3,0
1765,48,1,2,0,0,5,6892,91,16,13,5,4,4,4,3,0,2,54,6,2,1,2,31,2,0
1766,20,1,1,2,3,3,16286,35,21,5,6,1,2,2,27,1,1,54,17,3,3,3,36,3,0
1767,54,1,2,4,3,5,9599,79,8,14,7,2,5,1,18,1,8,59,18,1,1,3,32,3,0
1768,25,0,1,3,0,1,11646,91,26,1,3,1,2,4,5,0,8,57,2,1,1,4,18,1,0
1769,56,1,0,2,3,1,16222,48,10,9,6,3,5,3,25,0,7,52,9,1,2,1,26,4,0
1770,24,0,2,4,2,1,7304,75,12,2,8,3,3,2,39,1,1,39,14,3,2,1,24,2,0
1771,52,0,0,0,3,1,8432,50,18,2,0,3,2,4,18,1,8,45,12,1,2,1,18,1,0
1772,33,0,2,0,2,1,5850,94,23,10,2,1,5,4,80,1,9,35,10,1,1,3,39,2,0
1773,31,0,1,4,0,3,14529,88,9,10,4,1,3,3,92,0,1,43,8,2,4,1,2,3,0
1774,39,0,2,3,1,5,17630,55,23,4,6,2,2,1,20,1,1,45,18,3,2,2,25,3,0
1775,43,0,2,4,0,5,4721,48,25,2,4,1,2,4,4,1,1,45,1,1,3,4,13,4,0
1776,53,0,0,1,0,4,17300,39,4,13,0,4,1,1,16,0,4,57,3,1,1,4,16,1,0
1777,44,1,0,4,3,1,4429,71,5,10,0,4,4,1,37,0,5,56,18,3,3,3,12,1,1
1778,48,1,0,4,0,2,3648,79,23,6,0,2,4,4,61,0,8,32,17,3,3,3,30,1,0
1779,58,0,1,0,0,4,3355,90,16,13,7,2,3,3,39,0,8,33,0,3,1,2,46,4,1
1780,50,0,0,3,2,4,5823,36,1,5,6,1,5,4,6,1,6,44,18,1,2,3,23,2,0
1781,42,0,2,4,1,3,11157,74,18,10,2,1,4,1,26,0,7,57,15,2,1,4,26,1,0
1782,57,0,1,2,3,4,18581,68,18,10,3,2,5,1,30,0,1,34,11,2,2,3,2,2,0
1783,39,0,0,0,1,2,10543,36,26,3,7,1,5,3,97,1,8,44,7,3,1,3,4,4,0
1784,42,0,2,0,1,5,15126,75,25,13,6,2,4,2,61,1,6,39,5,1,2,4,42,3,1
1785,35,1,2,4,1,4,8269,80,19,2,6,3,4,3,25,0,1,47,10,1,4,3,8,2,0
1786,27,1,1,2,3,3,6934,59,9,6,5,3,5,3,69,1,5,48,18,4,1,2,28,2,0
1787,40,0,2,4,0,1,10085,86,1,14,8,2,5,1,30,0,9,49,5,2,4,1,9,4,0
1788,20,0,0,2,1,2,17032,83,27,2,5,3,2,3,11,1,1,48,16,3,4,3,47,3,0
1789,27,0,2,0,3,1,19650,78,3,11,0,1,2,1,14,1,3,44,11,3,2,1,35,3,0
1790,48,1,0,2,0,4,10317,24,26,4,4,4,5,4,57,0,6,41,19,3,2,2,7,3,0
1791,51,0,0,4,1,5,3381,81,2,5,7,2,4,2,0,0,2,52,7,1,2,1,44,3,0
1792,57,1,1,1,2,3,4635,25,2,13,5,2,2,4,61,1,5,52,5,1,3,4,36,1,0
1793,24,1,2,1,3,2,15793,42,17,11,4,3,5,1,58,0,9,52,15,3,4,3,37,3,0
1794,41,1,1,2,1,5,13476,19,6,8,8,2,5,3,89,1,5,54,19,4,1,2,43,2,0
1795,53,0,1,4,3,2,14850,26,5,12,6,3,3,3,36,1,3,34,1,1,1,1,34,4,1
1796,20,0,1,3,2,3,10417,58,28,1,6,2,3,4,5,1,5,40,0,2,2,3,16,2,0
1797,45,1,0,1,3,3,5637,43,21,7,0,1,5,3,23,0,6,33,8,2,1,4,24,3,0
1798,29,1,0,0,0,4,18125,92,11,14,1,3,5,2,46,0,9,51,16,3,3,2,20,2,0
1799,49,1,0,4,1,2,8570,50,9,6,9,4,5,4,63,0,6,38,16,1,4,2,7,2,0
1800,37,1,0,4,3,4,9050,49,22,3,4,1,2,2,35,1,2,44,12,3,1,3,6,1,0
1801,36,0,2,1,3,2,19404,22,25,10,2,2,1,1,82,0,5,51,4,4,1,1,46,1,0
1802,45,1,2,3,1,2,15592,30,4,10,7,3,2,3,55,0,9,43,15,1,2,3,1,2,1
1803,27,0,0,0,2,1,15891,57,7,10,3,1,5,2,81,0,1,44,13,2,2,3,27,3,0
1804,59,1,0,3,2,4,18142,83,13,1,6,2,2,4,79,1,8,35,19,1,2,2,34,4,1
1805,31,0,2,0,1,2,4009,30,16,2,4,3,1,1,16,0,5,43,15,2,3,1,46,3,1
1806,46,1,1,1,1,2,15732,70,27,1,5,1,1,1,10,0,7,50,18,2,4,4,27,4,0
1807,27,0,1,4,0,3,10779,55,20,3,6,3,1,3,3,0,4,52,17,2,1,1,16,4,0
1808,44,0,0,0,3,1,17601,91,17,1,7,2,5,3,79,1,4,58,4,4,4,1,44,1,0
1809,23,0,1,4,3,3,10140,22,20,10,2,1,4,2,8,0,8,42,12,2,1,4,39,2,0
1810,52,1,0,2,2,4,10824,68,2,5,2,2,4,3,86,0,9,32,19,4,2,2,14,3,1
1811,20,0,0,2,0,4,17968,19,5,10,1,1,4,4,73,0,1,35,4,1,3,3,17,3,0
1812,38,1,0,1,3,2,15611,23,27,6,5,2,3,2,89,0,6,35,12,3,3,1,22,3,0
1813,50,0,2,1,0,5,8385,80,18,1,1,2,4,2,99,1,2,35,7,1,3,4,5,2,0
1814,35,0,1,1,1,3,19244,85,13,14,0,3,5,4,38,0,3,34,4,3,1,4,25,4,0
1815,33,1,2,2,3,4,17424,44,18,1,0,3,5,4,66,0,9,45,15,2,2,3,49,1,0
1816,24,0,1,0,1,2,18017,95,28,12,8,1,3,2,83,0,7,35,8,2,1,4,19,3,0
1817,45,0,2,3,2,2,9508,79,11,4,0,1,5,1,80,1,3,46,12,2,2,3,42,4,0
1818,47,1,2,1,2,3,15159,44,14,4,6,2,5,2,46,0,5,30,14,4,3,1,6,2,0
1819,21,0,0,3,1,2,14933,61,12,8,4,3,3,2,27,1,6,44,8,2,2,4,6,2,0
1820,25,0,0,3,2,1,15105,45,4,10,5,2,3,4,0,0,6,59,12,4,3,4,25,2,0
1821,28,0,2,2,1,5,14988,74,7,7,9,2,3,2,35,0,9,36,18,4,4,4,21,2,0
1822,52,0,1,0,1,3,13754,89,13,7,8,1,5,1,88,1,1,32,3,1,1,1,37,4,0
1823,44,1,1,2,1,3,10536,94,19,9,2,4,3,4,96,0,2,53,1,1,2,3,34,1,0
1824,32,0,0,1,2,3,5217,23,11,8,5,2,1,3,49,1,7,48,1,2,2,3,5,2,0
1825,28,0,0,2,2,2,19530,90,28,12,6,2,2,2,84,0,4,32,17,4,1,3,20,1,0
1826,32,0,1,2,2,2,6754,68,7,13,1,3,3,1,93,0,6,54,17,4,2,4,22,4,0
1827,50,0,1,2,1,3,11271,75,27,11,5,4,3,3,76,0,9,55,0,1,1,3,46,1,0
1828,30,0,1,1,0,3,9595,78,25,11,5,4,3,1,38,1,9,50,19,3,2,3,6,2,0
1829,23,0,0,1,2,1,16866,94,15,12,4,2,3,2,49,0,4,48,5,3,1,4,8,2,1
1830,53,0,1,2,0,4,9052,20,19,12,6,2,2,4,22,0,7,34,17,3,4,4,29,1,1
1831,57,0,0,2,2,1,7390,59,20,12,8,4,5,4,52,0,3,52,6,1,4,3,24,4,0
1832,23,1,2,3,3,3,12345,79,17,3,6,2,4,1,5,0,3,53,14,1,4,1,23,3,0
1833,57,1,2,0,3,2,9012,91,23,4,1,4,1,1,82,0,4,55,0,4,2,4,1,1,0
1834,38,1,2,3,3,2,8883,51,1,8,3,1,5,4,9,1,5,57,16,1,1,4,20,4,0
1835,25,1,1,0,0,3,11804,87,29,14,0,3,3,3,15,1,9,48,4,1,3,1,11,2,0
1836,53,0,0,0,2,4,13002,31,12,5,1,1,5,4,76,0,2,30,1,3,3,2,14,4,0
1837,37,0,1,2,1,5,7651,39,19,13,8,1,1,3,21,0,1,50,7,3,1,3,39,4,0
1838,32,1,0,3,0,5,5956,64,25,5,6,3,5,1,65,1,1,57,13,2,4,3,29,3,0
1839,42,1,1,0,2,1,8781,85,28,8,7,1,5,4,41,0,1,55,2,2,3,4,12,4,0
1840,38,1,2,0,3,4,6206,45,5,8,7,2,3,4,89,0,9,37,18,3,2,3,24,3,1
1841,30,0,0,1,0,5,19257,46,10,13,1,1,2,2,4,0,7,31,9,2,3,2,8,3,1
1842,20,0,1,0,2,4,7597,62,26,6,4,1,4,1,93,1,2,35,10,2,3,3,35,1,0
1843,43,1,0,2,1,2,12165,97,11,14,0,2,5,1,36,1,6,38,16,3,3,2,33,2,1
1844,26,1,0,4,0,2,3659,31,16,9,8,2,2,4,85,1,6,54,0,4,3,1,41,4,0
1845,44,1,1,1,1,4,10805,75,18,4,4,1,4,3,50,0,4,42,10,1,2,1,36,4,0
1846,40,1,1,4,0,3,3760,71,9,10,0,1,1,4,81,0,1,36,14,1,1,4,43,1,0
1847,34,1,0,2,3,5,11523,71,22,1,6,2,1,3,92,0,5,30,16,3,2,3,41,2,0
1848,20,0,0,4,3,5,3958,84,9,10,8,3,5,4,18,0,8,30,9,3,1,4,2,3,0
1849,31,1,2,0,3,2,12950,47,28,2,0,2,4,3,3,0,1,31,11,2,4,1,11,1,0
1850,26,0,0,4,1,1,8840,33,27,1,0,3,1,3,71,0,1,44,3,4,4,2,47,1,0
1851,34,1,2,3,3,5,7408,29,14,4,0,2,3,3,26,0,2,54,7,3,3,3,46,2,0
1852,40,1,2,2,1,2,4855,49,20,9,6,2,2,2,54,0,7,31,0,4,3,2,40,4,0
1853,38,0,2,3,1,2,19738,63,6,11,9,3,5,2,92,1,8,36,12,2,1,3,19,4,1
1854,48,1,0,4,1,4,8621,50,12,6,2,3,1,4,96,1,7,48,1,3,1,4,37,4,0
1855,44,0,2,3,3,4,5272,68,23,13,8,3,2,4,6,1,4,43,10,4,1,3,10,3,0
1856,52,0,0,1,2,4,17642,50,11,14,8,1,3,1,60,0,1,55,15,4,3,1,10,3,0
1857,51,1,0,4,1,1,7890,67,22,14,6,3,5,3,98,0,9,36,9,2,4,4,41,2,1
1858,54,1,1,3,2,5,6162,74,4,6,2,2,5,4,67,0,9,54,7,2,4,4,31,1,0
1859,57,0,0,0,1,1,9517,88,24,6,9,2,1,3,25,1,6,39,4,2,2,2,38,3,0
1860,45,0,0,4,3,1,11395,58,6,1,7,4,5,1,58,0,1,39,12,3,2,3,39,3,0
1861,30,1,2,1,3,4,3608,47,18,1,5,2,2,3,76,0,8,39,8,4,2,2,8,4,0
1862,54,0,0,0,3,2,11076,58,29,3,3,4,4,1,74,1,5,35,17,2,2,1,30,4,0
1863,27,1,0,4,0,3,4140,69,28,5,7,1,2,4,38,0,7,57,18,4,3,4,46,4,0
1864,33,0,1,0,3,2,15353,88,6,2,2,3,3,2,33,0,9,59,2,4,2,3,46,1,0
1865,29,1,1,4,2,2,7874,58,1,11,0,3,5,2,24,0,5,45,3,4,1,3,19,3,0
1866,21,0,2,4,1,2,7996,65,25,12,3,4,3,4,84,0,6,32,14,4,4,3,5,3,0
1867,28,0,2,2,2,2,16697,65,10,1,8,1,3,2,35,0,5,49,5,1,4,4,22,2,0
1868,22,1,1,3,0,1,11173,21,12,9,6,4,5,4,65,0,2,56,8,4,4,1,19,4,0
1869,40,0,1,4,2,4,9235,99,7,11,0,3,4,4,88,0,1,37,19,3,1,3,30,4,0
1870,45,0,0,1,1,4,8196,15,24,1,0,2,2,4,95,0,7,49,13,3,4,2,35,2,1
1871,27,0,2,3,1,2,10917,27,28,13,0,3,3,4,64,1,3,38,0,4,1,4,6,4,0
1872,21,0,2,2,3,3,18611,87,11,13,5,1,2,2,96,0,8,52,3,2,1,1,18,4,0
1873,25,0,0,3,0,5,3738,62,20,14,9,1,3,1,5,1,3,39,8,3,2,1,36,3,0
1874,47,0,0,3,0,2,17183,98,24,11,9,4,5,4,12,0,8,57,18,2,1,4,34,1,1
1875,48,0,2,4,2,2,13892,61,28,11,8,3,5,3,16,0,1,47,18,3,2,3,33,2,0
1876,45,1,1,1,3,3,6723,61,1,14,2,1,5,4,79,0,5,50,7,4,2,1,38,2,0
1877,44,0,1,4,3,1,3657,24,27,11,2,3,5,1,37,0,2,54,1,4,3,2,5,2,0
1878,31,0,0,1,3,2,12301,40,16,4,6,3,5,4,85,1,5,45,11,1,3,3,4,1,0
1879,24,1,2,1,1,3,5164,64,4,9,5,4,2,4,42,0,4,31,0,1,1,1,20,2,0
1880,53,0,0,0,0,1,11338,61,6,10,8,2,3,3,40,0,6,53,8,2,1,3,12,1,0
1881,56,0,1,4,2,1,15247,58,10,2,2,3,1,1,70,1,5,55,5,4,1,1,14,2,1
1882,34,1,1,2,2,2,9802,15,7,10,6,3,4,2,1,0,2,48,18,3,4,2,45,3,0
1883,55,0,0,3,2,1,7631,77,12,3,6,2,1,2,0,0,2,59,0,2,1,1,29,1,0
1884,34,0,1,0,3,2,6229,31,19,4,8,4,3,2,18,1,6,46,3,3,2,2,6,3,0
1885,42,1,2,2,0,2,8229,31,10,12,5,2,2,4,15,0,3,58,8,1,2,4,42,4,1
1886,25,1,0,4,0,4,14830,53,26,2,8,3,3,2,33,0,6,33,2,1,1,3,17,4,0
1887,40,0,0,1,1,5,18496,57,2,2,5,4,4,1,92,0,1,38,16,3,1,4,16,4,1
1888,42,0,0,4,1,5,8196,90,9,12,1,2,3,2,71,1,4,48,10,4,4,1,31,3,0
1889,35,1,1,4,1,4,3921,55,1,6,5,4,5,3,89,0,8,31,7,1,4,1,21,2,0
1890,34,0,2,0,2,2,10849,29,10,11,4,1,1,4,10,0,4,47,13,1,2,3,44,1,0
1891,44,1,0,2,2,3,5978,15,1,11,5,4,4,3,73,1,9,31,5,2,3,4,22,4,0
1892,55,1,0,0,0,1,12279,72,26,10,8,3,4,2,67,0,3,47,12,4,2,2,13,1,0
1893,30,1,1,2,1,4,8777,68,2,5,5,1,1,3,50,1,9,56,12,2,4,3,27,2,0
1894,34,0,2,0,2,4,5096,89,5,11,4,3,2,4,97,0,3,32,11,4,3,3,7,2,0
1895,23,1,0,3,1,4,8572,19,17,5,4,4,1,1,48,0,7,49,6,3,1,1,24,1,0
1896,40,1,1,1,1,4,15685,76,13,9,2,2,1,1,22,0,6,44,10,1,4,3,20,2,0
1897,32,1,0,1,0,5,8422,96,6,7,4,4,1,1,1,0,8,49,11,3,4,4,28,1,1
1898,41,0,1,1,0,2,7176,96,24,11,4,4,2,1,96,0,1,58,13,2,2,4,41,4,0
1899,38,0,2,3,2,4,13423,85,10,13,9,2,4,4,31,1,9,54,11,1,4,3,10,3,0
1900,53,0,1,3,0,4,9610,60,2,9,2,4,3,1,53,1,7,44,6,2,3,4,17,4,1
1901,33,1,0,1,1,4,10238,79,5,1,6,2,1,4,19,1,9,43,8,3,4,1,18,2,1
1902,23,0,0,1,0,3,4981,42,19,2,7,3,2,2,76,0,1,30,19,4,4,4,22,4,1
1903,46,0,1,2,1,3,19098,98,2,5,6,1,3,4,66,0,6,34,15,2,2,3,38,4,1
1904,48,1,2,2,1,1,13596,55,22,10,1,3,3,4,92,0,4,32,2,2,4,3,17,3,0
1905,47,1,2,4,2,2,14712,37,1,14,6,1,4,2,17,0,6,54,1,2,3,1,2,3,0
1906,54,0,0,0,2,4,19096,46,28,7,0,2,5,3,69,1,3,54,3,4,1,2,23,4,1
1907,27,0,0,2,2,1,6217,72,8,8,2,1,3,1,13,1,7,43,1,3,1,4,32,4,0
1908,35,1,1,2,1,1,13294,53,15,7,9,3,1,4,67,1,9,41,13,2,1,1,13,4,0
1909,55,0,1,2,0,2,8816,96,6,9,3,4,3,2,89,1,3,58,10,1,2,4,2,1,0
1910,49,1,1,2,2,3,11338,47,4,11,5,4,5,3,75,0,9,35,14,3,3,2,43,1,0
1911,37,1,2,3,2,2,7681,72,12,3,8,3,5,4,60,1,3,58,2,1,3,3,43,1,0
1912,21,0,2,4,0,1,18827,46,16,11,8,2,4,2,37,0,7,49,11,2,3,1,48,2,0
1913,32,0,0,2,0,2,16407,64,21,5,5,3,2,1,57,1,9,47,12,4,1,1,1,4,0
1914,23,0,0,0,2,3,10658,65,2,12,8,4,4,1,91,0,1,38,1,1,4,4,22,3,0
1915,45,0,0,2,1,1,9052,91,8,6,5,1,5,3,40,1,2,45,17,2,4,4,38,4,0
1916,44,1,1,3,1,2,3853,33,22,14,6,1,2,2,5,1,8,32,9,2,1,4,6,3,0
1917,49,0,2,1,2,4,3247,17,6,10,5,2,4,3,3,1,7,42,16,1,4,2,6,3,0
1918,30,0,0,1,0,4,16836,31,3,7,2,2,1,3,71,0,7,40,7,1,1,1,37,4,0
1919,26,0,0,4,1,2,18429,57,1,12,0,1,3,1,43,1,7,47,3,1,2,4,10,4,0
1920,50,1,0,1,0,2,7537,43,8,7,3,4,1,1,94,1,9,54,15,1,3,1,21,4,0
1921,29,0,0,2,3,3,13495,58,12,4,0,1,1,4,95,0,8,39,12,3,3,4,8,2,0
1922,58,0,0,3,0,1,12601,66,7,1,9,3,3,3,3,1,7,40,5,1,3,1,43,2,0
1923,32,1,0,4,0,2,14963,42,28,8,0,1,3,1,27,0,1,59,17,3,2,3,10,2,0
1924,50,1,2,2,3,1,5463,98,17,10,4,3,5,4,6,0,4,58,8,3,2,3,1,1,0
1925,26,1,0,1,1,4,17654,48,28,1,7,3,3,1,8,0,5,37,11,3,2,4,49,1,0
1926,55,1,2,0,1,1,12177,94,13,12,0,4,1,2,66,0,9,39,12,3,2,1,15,4,0
1927,39,1,1,2,1,5,9473,68,24,14,4,3,3,3,52,1,2,45,12,1,2,1,5,1,1
1928,23,0,2,0,2,3,10311,16,26,1,7,3,5,1,96,1,9,41,8,1,1,4,32,4,0
1929,26,1,1,0,3,3,6134,31,18,9,2,2,2,4,19,0,3,55,4,2,2,4,19,3,1
1930,20,1,2,4,0,1,19041,98,27,13,5,3,4,4,18,1,3,57,8,1,1,2,4,3,0
1931,32,1,2,3,3,3,7000,32,16,10,6,3,1,4,15,1,5,40,19,1,4,1,46,2,0
1932,41,1,0,1,3,1,19173,42,8,10,9,3,3,1,2,1,5,57,15,3,4,1,35,3,0
1933,40,1,2,1,3,1,10670,42,21,12,7,3,2,1,5,0,3,39,14,2,3,3,28,1,0
1934,41,1,2,2,3,4,12612,66,24,3,2,4,4,1,92,1,4,51,18,1,3,3,37,2,1
1935,47,1,0,1,3,1,19506,30,27,9,0,1,4,1,53,0,9,57,2,3,3,4,9,3,0
1936,28,1,1,4,3,3,11877,47,12,10,9,1,4,1,97,0,5,52,11,1,1,3,27,2,0
1937,45,0,0,1,2,5,4661,99,6,11,7,1,1,4,77,0,1,41,7,2,2,3,4,3,0
1938,28,0,0,2,3,2,10482,19,2,10,3,3,4,3,25,1,2,40,7,1,2,3,28,4,0
1939,34,0,0,1,3,3,15092,59,7,14,1,2,1,2,33,0,7,38,9,1,2,2,33,4,0
1940,29,1,1,3,1,5,5163,51,27,12,0,2,1,4,8,1,3,53,16,1,1,3,13,4,0
1941,43,1,2,0,3,3,10252,96,27,14,5,3,5,2,54,0,1,59,10,1,1,1,5,1,0
1942,27,1,2,0,3,5,10799,66,29,1,0,4,4,3,32,1,7,35,8,1,1,3,22,2,0
1943,43,0,0,0,1,3,16475,78,22,7,5,2,3,1,59,0,6,46,0,4,2,4,18,3,0
1944,35,1,0,3,1,2,3554,76,4,5,7,4,2,1,18,1,7,37,3,2,2,4,24,4,0
1945,45,1,2,4,1,4,14399,19,25,12,2,1,1,3,72,0,3,56,16,3,1,2,13,2,0
1946,46,1,2,2,0,4,10925,25,29,12,5,1,1,4,38,0,8,48,12,2,2,3,4,1,0
1947,56,0,2,3,3,2,7008,17,29,4,5,2,5,1,5,0,1,35,8,2,1,4,43,2,0
1948,23,0,1,2,3,3,4816,65,20,11,4,2,1,2,22,0,8,47,18,1,3,2,3,4,0
1949,43,1,1,4,3,5,10539,74,16,12,2,3,1,2,56,1,2,45,18,1,2,4,11,2,0
1950,38,0,0,3,1,1,17569,80,17,5,5,4,3,3,8,0,6,53,5,1,2,1,46,1,0
1951,55,1,1,1,2,3,18474,71,29,14,0,1,1,1,89,0,6,33,10,1,3,1,15,3,0
1952,58,1,0,4,3,2,19572,31,3,1,3,2,2,1,9,1,1,58,9,1,3,3,20,2,0
1953,29,0,2,0,1,4,4220,17,27,10,7,4,2,1,69,0,3,37,5,1,1,2,11,2,0
1954,44,0,2,3,1,4,16947,17,24,7,5,2,3,1,13,0,8,36,8,1,3,4,41,4,1
1955,37,0,0,4,1,3,14060,54,3,11,3,3,5,2,16,0,6,37,7,2,4,2,37,1,0
1956,38,0,2,4,0,5,13253,94,14,12,5,4,3,2,67,0,7,47,7,1,4,2,9,4,0
1957,55,1,0,3,1,2,5907,90,14,2,0,1,2,1,77,1,2,45,0,1,3,3,34,3,0
1958,29,1,0,0,2,2,18604,77,7,14,2,2,3,3,23,0,5,56,7,2,2,1,3,2,0
1959,52,0,0,0,0,5,4715,65,27,12,6,4,3,3,12,0,4,52,3,3,2,1,8,2,0
1960,24,0,1,4,1,5,18661,15,1,9,0,3,4,2,58,0,2,37,18,3,2,2,13,4,1
1961,54,1,0,2,2,3,14727,65,15,5,1,4,4,3,64,0,5,43,12,4,3,2,38,4,0
1962,53,1,0,4,2,3,17248,18,14,5,2,3,3,2,37,1,1,48,17,1,1,3,49,1,0
1963,52,1,0,3,3,4,10809,95,4,14,3,2,1,2,96,0,3,36,13,3,4,4,14,2,1
1964,40,1,1,3,1,4,9110,97,4,3,5,3,3,4,16,0,6,36,9,2,1,1,36,2,0
1965,36,0,2,3,1,5,19995,18,25,10,8,1,5,3,13,0,4,32,13,1,3,4,35,1,0
1966,41,0,1,0,3,1,13701,61,28,2,0,4,3,4,80,1,4,42,19,4,2,1,34,4,0
1967,56,0,0,1,2,1,3283,53,11,8,3,1,2,4,45,1,9,34,15,1,2,2,5,1,0
1968,34,1,1,3,1,1,5670,98,1,13,3,2,5,1,15,0,4,45,3,2,4,2,14,2,0
1969,54,1,2,3,3,2,18135,63,11,9,5,1,2,1,70,0,4,54,1,1,3,1,9,2,0
1970,47,0,2,2,3,3,15821,71,12,3,0,1,5,2,46,1,3,55,15,2,2,3,20,1,0
1971,26,0,0,2,2,5,11873,53,15,12,8,4,5,4,75,1,2,35,14,4,1,3,1,2,0
1972,51,0,2,4,2,4,14631,82,29,14,0,1,2,1,22,0,8,40,17,1,2,2,20,3,1
1973,30,1,1,4,1,1,10164,31,25,11,9,4,3,2,5,0,3,50,2,4,2,3,29,1,1
1974,29,0,1,4,1,4,18516,29,26,13,0,2,5,4,37,1,6,41,7,4,4,4,49,4,0
1975,28,1,2,3,0,3,10630,42,24,8,2,1,1,4,29,0,2,33,6,3,1,3,46,1,1
1976,33,0,0,2,2,5,16891,30,15,6,0,4,2,1,21,0,8,40,16,3,3,1,33,2,1
1977,32,0,0,4,0,1,7256,20,26,12,3,3,2,2,0,0,9,53,15,4,1,1,45,3,1
1978,44,0,1,2,0,1,18240,46,22,11,6,4,3,4,66,1,5,59,19,4,2,2,31,2,0
1979,21,1,2,3,3,5,18909,95,27,9,8,1,3,4,39,0,9,38,5,1,2,1,15,2,0
1980,54,1,1,3,3,4,5073,39,4,10,3,1,5,3,0,1,1,59,7,2,1,2,49,2,1
1981,26,1,1,4,1,3,6370,53,27,4,5,4,2,1,99,0,8,35,5,3,4,4,14,3,0
1982,40,1,1,3,2,3,5484,31,6,3,1,4,3,4,96,1,2,50,5,1,3,1,15,3,1
1983,37,1,0,3,2,3,13010,60,22,7,6,4,2,4,47,1,8,42,11,4,2,3,8,4,0
1984,22,1,2,2,0,4,9902,93,2,1,7,1,1,2,38,0,1,33,7,4,4,2,8,3,0
1985,58,0,2,1,0,4,10405,67,23,3,2,2,2,4,43,0,1,37,18,1,1,2,30,4,0
1986,30,1,0,0,1,1,5666,65,9,7,0,2,5,4,48,1,9,38,16,4,1,4,47,1,0
1987,58,0,1,4,3,4,6384,32,8,12,1,3,1,3,60,0,3,39,16,3,2,3,16,2,1
